2022/04/30 02:36:00 [error] 24888#25256: *149 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1uz_bO HTTP/1.0", upstream: "http://127.0.0.1:8081/socket.io/?EIO=4&transport=polling&t=O1uz_bO", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:36:02 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1uz_bO&errorid=0 HTTP/1.1", upstream: "http://127.0.0.1:8084/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1uz_bO&errorid=0", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:36:04 [error] 24888#25256: *154 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1uz_bO&errorid=0 HTTP/1.0", upstream: "http://127.0.0.1:8082/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1uz_bO&errorid=0", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:36:12 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-2Wq&errorid=0 HTTP/1.1", upstream: "http://127.0.0.1:8083/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-2Wq&errorid=0", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:36:20 [error] 24888#25256: *165 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-4Tw HTTP/1.0", upstream: "http://127.0.0.1:8081/socket.io/?EIO=4&transport=polling&t=O1u-4Tw", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:36:22 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-4Tw&errorid=0 HTTP/1.1", upstream: "http://127.0.0.1:8082/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-4Tw&errorid=0", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:36:24 [error] 24888#25256: *170 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-4Tw&errorid=0 HTTP/1.0", upstream: "http://127.0.0.1:8084/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-4Tw&errorid=0", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:36:32 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-7PK&errorid=0 HTTP/1.1", upstream: "http://127.0.0.1:8083/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-7PK&errorid=0", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:36:40 [error] 24888#25256: *181 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-9MJ HTTP/1.0", upstream: "http://127.0.0.1:8081/socket.io/?EIO=4&transport=polling&t=O1u-9MJ", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:36:42 [error] 24888#25256: *181 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-9MJ HTTP/1.0", upstream: "http://127.0.0.1:8084/socket.io/?EIO=4&transport=polling&t=O1u-9MJ", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:36:44 [error] 24888#25256: *186 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-9MJ&errorid=0 HTTP/1.0", upstream: "http://127.0.0.1:8082/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-9MJ&errorid=0", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:36:52 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-CH-&errorid=0 HTTP/1.1", upstream: "http://127.0.0.1:8083/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-CH-&errorid=0", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:37:00 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-EEt&errorid=0 HTTP/1.1", upstream: "http://127.0.0.1:8081/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-EEt&errorid=0", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:37:02 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-EEt&errorid=0 HTTP/1.1", upstream: "http://127.0.0.1:8082/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-EEt&errorid=0", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:37:04 [error] 24888#25256: *202 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-EEt&errorid=0 HTTP/1.0", upstream: "http://127.0.0.1:8084/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-EEt&errorid=0", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:37:12 [error] 24888#25256: *208 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-HAN HTTP/1.0", upstream: "http://127.0.0.1:8083/socket.io/?EIO=4&transport=polling&t=O1u-HAN", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:37:20 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-J7N HTTP/1.1", upstream: "http://127.0.0.1:8081/socket.io/?EIO=4&transport=polling&t=O1u-J7N", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:37:22 [error] 24888#25256: *216 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-J7N HTTP/1.0", upstream: "http://127.0.0.1:8084/socket.io/?EIO=4&transport=polling&t=O1u-J7N", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:37:24 [error] 24888#25256: *216 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-J7N HTTP/1.0", upstream: "http://127.0.0.1:8082/socket.io/?EIO=4&transport=polling&t=O1u-J7N", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:37:32 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1u-M2_ HTTP/1.1", upstream: "http://127.0.0.1:8083/socket.io/?EIO=4&transport=polling&t=O1u-M2_", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:37:34 [error] 24888#25256: *228 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-M2_&errorid=0 HTTP/1.0", upstream: "http://127.0.0.1:8081/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-M2_&errorid=0", host: "node_app", referrer: "http://localhost:8080/login"
2022/04/30 02:37:42 [error] 24888#25256: *233 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-OV3&errorid=0 HTTP/1.0", upstream: "http://127.0.0.1:8082/public/login.htm?loginurl=%2Fsocket.io%2F%3FEIO%3D4%26transport%3Dpolling%26t%3DO1u-OV3&errorid=0", host: "node_app", referrer: "http://localhost:8080/login"
